text,condition,record_type,Care_Profile
Nodular dermatofibrosis; recommend abdominal ultrasound to check for renal cystadenocarcinoma.,Skin Irritations,Clinical Notes,nodular dermatofibrosis recommend abdominal ultrasound to check for renal cystadenocarcinoma skin irritations clinical notes
My rabbit keeps shaking its head back and forth.,Ear Infections,Owner Observation,my rabbit keeps shaking its head back and forth ear infections owner observation
"My dog seems sensitive around his head, flinches when petted near ears.",Ear Infections,Owner Observation,my dog seems sensitive around his head flinches when petted near ears ear infections owner observation
Abdominal ultrasound shows hyperechoic pancreas with surrounding mesenteric reaction. No obvious foreign body or mass.,Digestive Issues,Clinical Notes,abdominal ultrasound shows hyperechoic pancreas with surrounding mesenteric reaction no obvious foreign body or mass digestive issues clinical notes
Lateral ear resection discussed as potential surgical option to improve ventilation.,Ear Infections,Clinical Notes,lateral ear resection discussed as potential surgical option to improve ventilation ear infections clinical notes
Ensure owner understands chronicity and need for ongoing management in many cases.,Ear Infections,Clinical Notes,ensure owner understands chronicity and need for ongoing management in many cases ear infections clinical notes
Fecal smear/flotation positive for Giardia cysts/trophozoites.,Parasites,Clinical Notes,fecal smearflotation positive for giardia cyststrophozoites parasites clinical notes
My dog has diarrhea every time he gets stressed.,Digestive Issues,Owner Observation,my dog has diarrhea every time he gets stressed digestive issues owner observation
My cat vomited part of a houseplant leaf.,Digestive Issues,Owner Observation,my cat vomited part of a houseplant leaf digestive issues owner observation
Saw bright red blood coating my dog's otherwise normal stool.,Digestive Issues,Owner Observation,saw bright red blood coating my dogs otherwise normal stool digestive issues owner observation
Marked crepitus and decreased range of motion in left stifle; suspect severe OA.,Mobility Problems,Clinical Notes,marked crepitus and decreased range of motion in left stifle suspect severe oa mobility problems clinical notes
My Dachshund has back problems (IVDD).,Mobility Problems,Owner Observation,my dachshund has back problems ivdd mobility problems owner observation
Cat hasn't touched her food in over 24 hours.,Digestive Issues,Owner Observation,cat hasnt touched her food in over hours digestive issues owner observation
Culture and sensitivity results: Staphylococcus pseudintermedius sensitive to cephalexin.,Skin Irritations,Clinical Notes,culture and sensitivity results staphylococcus pseudintermedius sensitive to cephalexin skin irritations clinical notes
My cat keeps getting tapeworms even though I treat her.,Parasites,Owner Observation,my cat keeps getting tapeworms even though i treat her parasites owner observation
"My rabbit has white, flaky material inside the ear canals.",Ear Infections,Owner Observation,my rabbit has white flaky material inside the ear canals ear infections owner observation
My dog's gait looks wobbly or uncoordinated.,Mobility Problems,Owner Observation,my dogs gait looks wobbly or uncoordinated mobility problems owner observation
"Dog has chronic itching, mostly involving feet, face, and ears.",Skin Irritations,Owner Observation,dog has chronic itching mostly involving feet face and ears skin irritations owner observation
My rabbit has maggots visible near its hind end.,Parasites,Owner Observation,my rabbit has maggots visible near its hind end parasites owner observation
My cat has recurrent ear mite infestations.,Parasites,Owner Observation,my cat has recurrent ear mite infestations parasites owner observation
"Culture result: MRSP (Methicillin-Resistant Staph pseudintermedius). Treat based on sensitivity (e.g., chloramphenicol, doxycycline).",Ear Infections,Clinical Notes,culture result mrsp methicillinresistant staph pseudintermedius treat based on sensitivity eg chloramphenicol doxycycline ear infections clinical notes
Use caution with ivermectin in collie-type breeds; check MDR1 status if possible.,Parasites,Clinical Notes,use caution with ivermectin in collietype breeds check mdr status if possible parasites clinical notes
Puppy is being treated for scabies (Sarcoptic mange).,Parasites,Owner Observation,puppy is being treated for scabies sarcoptic mange parasites owner observation
Dog has a growth or polyp visible inside the ear canal.,Ear Infections,Owner Observation,dog has a growth or polyp visible inside the ear canal ear infections owner observation
"Acral lick dermatitis on left carpus; address underlying cause (allergy, pain, anxiety) and prevent licking (E-collar).",Skin Irritations,Clinical Notes,acral lick dermatitis on left carpus address underlying cause allergy pain anxiety and prevent licking ecollar skin irritations clinical notes
My dog was diagnosed with arthritis in his hips and knees.,Mobility Problems,Owner Observation,my dog was diagnosed with arthritis in his hips and knees mobility problems owner observation
Rabbit has lost fur on its nose.,Parasites,Owner Observation,rabbit has lost fur on its nose parasites owner observation
"Cat is constipated, passing very hard, dry stools.",Digestive Issues,Owner Observation,cat is constipated passing very hard dry stools digestive issues owner observation
Cheyletiella mites ('walking dandruff') identified via acetate tape preparation.,Parasites,Clinical Notes,cheyletiella mites walking dandruff identified via acetate tape preparation parasites clinical notes
My hamster seems to have greasy fur and is losing hair on its back.,Skin Irritations,Owner Observation,my hamster seems to have greasy fur and is losing hair on its back skin irritations owner observation
"Rule out GI neoplasia (adenocarcinoma, lymphoma, leiomyosarcoma) in older patient with weight loss, vomiting, or diarrhea.",Digestive Issues,Clinical Notes,rule out gi neoplasia adenocarcinoma lymphoma leiomyosarcoma in older patient with weight loss vomiting or diarrhea digestive issues clinical notes
Skin scrape positive for Demodex mites; initiate ivermectin therapy.,Skin Irritations,Clinical Notes,skin scrape positive for demodex mites initiate ivermectin therapy skin irritations clinical notes
"Dog has a persistent cough, vet is testing for heartworm.",Parasites,Owner Observation,dog has a persistent cough vet is testing for heartworm parasites owner observation
"Dog has black spots appearing on his skin, mostly on the belly.",Skin Irritations,Owner Observation,dog has black spots appearing on his skin mostly on the belly skin irritations owner observation
Pediculosis (lice infestation) confirmed; treat with appropriate insecticide.,Parasites,Clinical Notes,pediculosis lice infestation confirmed treat with appropriate insecticide parasites clinical notes
"Marked pedal erythema and pruritus; suspect pododermatitis, possible allergic component.",Skin Irritations,Clinical Notes,marked pedal erythema and pruritus suspect pododermatitis possible allergic component skin irritations clinical notes
My kitten has lost the fur on the bridge of her nose.,Skin Irritations,Owner Observation,my kitten has lost the fur on the bridge of her nose skin irritations owner observation
"Exfoliative dermatitis; consider differentials including sebaceous adenitis, ichthyosis, lymphoma.",Skin Irritations,Clinical Notes,exfoliative dermatitis consider differentials including sebaceous adenitis ichthyosis lymphoma skin irritations clinical notes
Babesia canis identified via PCR. Treatment options discussed (imidocarb dipropionate).,Parasites,Clinical Notes,babesia canis identified via pcr treatment options discussed imidocarb dipropionate parasites clinical notes
